ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
514     ...4     A-14232           photo trans assy                                  2
515     ....5    5768-13154-04     pcb-phot trans                                    0
516     ....5    5163-12732-00     trans npn photo                                   0
517     .....6   5163-14114-00     trans-photo infra red T1&3/4                      0
518     ..3      4106-01013-06     sms #6 x 3/8 p-ph t-25                            8
519     ..3      H-23022-6         general opto square 4 pin cbl                     2
520     ...4     5791-13776-04     4 pin mimifit jr male                             2
521     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          8
522     ...4     CW-30022-84       wire 22awg gry/yel                               12
523     ...4     CW-30022-3        wire 22awg orange                                12
524     ...4     CW-30022-0        wire 22awg black                                 12
525     ...4     CW-30022-8        wire 22awg gray                                  12
526     ...4     03-7520-2         tie wrap-nylon 3 7/8                              6
527     .2       A-23032           long opto assy                                    1
528     ..3      01-15178          brkt-long opto                                    1
529     ..3      A-16908           opto led assy                                     1
530     ...4     03-8506-1         base-opto mtg-white                               1
531     ...4     4104-01001-06     sms #4X3/8 p-ph-a                                 1
532     ...4     A-14231           led assy                                          1
533     ....5    5671-12731-00     led diode infra red                               0
534     ....5    5768-13155-02     pcb-single IR LED (green mask)                    0
535     ..3      A-16909           opto p/t assy                                     1
536     ...4     03-8506           base-opto mtg-black                               1
537     ...4     4104-01001-06     sms #4X3/8 p-ph-a                                 1
538     ...4     A-14232           photo trans assy                                  1
539     ....5    5768-13154-04     pcb-phot trans                                    0
540     ....5    5163-12732-00     trans npn photo                                   0
541     .....6   5163-14114-00     trans-photo infra red T1&3/4                      0
542     ..3      4106-01013-06     sms #6 x 3/8 p-ph t-25                            8
543     ..3      03-8506           base-opto mtg-black                               1
544     ..3      03-8506-1         base-opto mtg-white                               1
545     ..3      H-23530-4         gen opto led 3 pin cable                          1
546     ...4     5791-10770-00     3p11625 03-06-2032 nmt sm                         1
547     ...4     5820-09078-00     pm1560 02-06-2101                                 2
548     ...4     CW-30022-0        wire 22awg black                                  4
549     ...4     CW-30022-8        wire 22awg gray                                   4
550     ...4     03-7520-2         tie wrap-nylon 3 7/8                              1
551     ..3      H-23531-4         gen opto receiver 2 pin cable                     1
552     ...4     5791-10772-00     2P11625 03-06-2023                                1
553     ...4     5820-09078-00     pm1560 02-06-2101                                 2
554     ...4     CW-30022-84       wire 22awg gry/yel                                4
555     ...4     CW-30022-3        wire 22awg orange                                 4
556     ...4     03-7520-2         tie wrap-nylon 3 7/8                              1
557     .2       A-23034           eject deflector assy                              1
558     ..3      01-15179          brkt-eject deflector                              1
559     ..3      23-6702           pad-bumper plug                                   2
560     .2       A-23147           back panel assy                                   1
561     ..3      11-1466.1         wood back panel                                   1
562     ..3      A-23298-5         playfield plastic assy                            1
563     ...4     31-3541-16A       playfield plastic-50069                           1
564     ...4     4700-00003-00     fw .125X.281X.032                                 2
565     ...4     07-6688-18N       rivet 3/16X1/8 nickel                             2
566     ...4     10-362            spring-eject (plain)                              2
567     ..3      A-17802           socket & #906 bulb assy                           1
568     ..3      03-7655-4         "clamp cable 1/4""dia"                            4
569     ..3      4108-01219-08     sms #8 X 1/2 pin hd-ab spcl                       5
570     ..3      A-14265-13        receptacle & skt-clear                            6
571     ..3      03-8171-16        dome-twist lock mini trp-yello                    6
572     ..3      03-8319-7         post #8 starred-dupont black                      2
573     ..3      03-8247-7         post #8 double star-black                         2
574     ..3      24-8802           bulb #906 13V 0.69                                6
575     ..3      31-3541-3C        playfield plastic-50069                           1
576     ..3      31-3541-4B        playfield plastic-50069                           1
577     ..3      H-23184           back panel flash cable                            1
578     ...4     03-7520-2         tie wrap-nylon 3 7/8                             10
579     ...4     5791-14003-08     conn-minifit jr. plug panl mtg                    1
580     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          8
581     ...4     CW-30022-29       wire 22awg red/wht                               61
582     ...4     CW-30022-63       wire 22awg blu/org                               23
583     ...4     CW-30022-64       wire 22awg blu/yel                               26
584     ...4     CW-30022-68       wire 22awg blu/gry                               16
585     ...4     CW-30022-01       wire 22awg blk/brn                               24
586     ...4     CW-30022-02       wire 22awg blk/red                               14
587     ...4     CW-30022-03       wire 22awg blk/org                               15
588     ...4     CW-30022-04       wire 22awg blk/yel                               12
589     ..3      03-10020          stand off plfd plastic                            4
590     ..3      4104-01001-06     sms #4X3/8 p-ph-a                                12
591     ..3      4008-01005-52     ms 8-32x3 1/4 p-ph                                2
592     ..3      4700-00011-00     fw .172X.437X.059                                 2
593     ..3      4408-01119-01     nut 8-32 esna/ntm                                 2
594     .2       A-23149           large main ramp assy                              1
595     ..3      03-10007.3        ramp-large main                                   1
596     ..3      A-23152           droid starfighter assy                            1
597     ...4     01-15192.1        brkt-droid starfighter                            1
598     ...4     31-3560           droid starfighter                                 2
599     ...4     20-10705-15       8mm  m2.5 ph taptite thd-form                     4
600     ...4     4700-00003-00     fw .125X.281X.032                                 4
601     ..3      A-23153           jarjar assy                                       1
602     ...4     01-15191.1        brkt-jarjar                                       1
603     ...4     31-3559           jarjar                                            1
604     ...4     4106-01001-06     sms #6X 3/8 p-ph                                  1
605     ..3      A-23154           watto assy                                        1
606     ...4     01-15190.1        brkt-watto                                        1
607     ...4     31-3558           watto                                             1
608     ...4     4108-01219-08     sms #8 X 1/2 pin hd-ab spcl                       1
609     ..3      H-23187.1         read switch cable                                 1
610     ...4     03-7520-2         tie wrap-nylon 3 7/8                              2
611     ...4     5791-10770-00     3p11625 03-06-2032 nmt sm                         1
612     ...4     5792-10773-00     2R11625 03-06-1023                                2
613     ...4     5820-09078-00     pm1560 02-06-2101                                 3
614     ...4     5821-09079-00     pf1561 02-06-1101                                 4
615     ...4     CW-30022-50       wire 22awg grn/blk                               21
616     ...4     CW-30022-95       wire 22awg wht/grn                               11
617     ...4     CW-30022-96       wire 22awg wht/blu                               11
618     ..3      01-14658          brkt-reed switch                                  2
619     ..3      17-1142           modify mini post clear                            1
620     ...4     03-8044-13        post mini-clear                                   1
621     ..3      20-10293          rollover switch-reed                              2
622     ..3      03-8044-13        post mini-clear                                   2
623     ..3      4008-01220-06     ms 8-32 x 3/8 pin head                            4
624     ..3      4106-01114-08     tcs #6X1/2 pl-hwh t-17                            3
625     ..3      4408-01119-01     nut 8-32 esna/ntm                                 5
626     ..3      07-6688-19N       rivet 7/32X1/8 nickel                             4
627     ..3      4700-00003-00     fw .125X.281X.032                                 4
628     ..3      31-3539-2         decals-under ramps                                1
629     ..3      31-3539-3         decals-under ramps                                1
630     .2       A-23150           small main ramp assy                              1
631     ..3      01-15197          flap-small main ramp                              2
632     ..3      01-15198          brkt-small main ramp mtg                          1
633     ..3      03-10006.1        small main ramp                                   1
634     ..3      03-8130-13        post double star-clear                            1
635     ..3      4700-00003-00     fw .125X.281X.032                                 4
636     ..3      4008-01227-30     ms 8-32x 1 7/8 pin head sems                      1
637     ..3      4408-01119-01     nut 8-32 esna/ntm                                 1
638     ..3      07-6688-19N       rivet 7/32X1/8 nickel                             6
639     ..3      31-3539-6         decals-under ramps                                1
640     ..3      31-3539-5         decals-under ramps                                1
641     .2       A-23151           skill shot ramp assy                              1
642     ..3      01-15196          flap-skill shot ramp                              1
643     ..3      03-10005.2        skill shot ramp                                   1
644     ..3      A-23172           skill shot ramp gate assy                         1
645     ...4     01-15209.1        brkt-skill shot ramp gate                         1
646     ...4     12-7456           gate-wire                                         1
647     ..3      07-6688-18N       rivet 3/16X1/8 nickel                             4
648     ..3      4700-00003-00     fw .125X.281X.032                                 8
649     ..3      4408-01119-01     nut 8-32 esna/ntm                                 1
650     ..3      31-3539-1         decals-under ramps                                1
651     ..3      31-3539-4         decals-under ramps                                1
652     ..3      4008-01227-06     ms 8-32x 3/8 pin head sems                        1
653     ..3      04-12756-18       cntl refl lamp & 3 pin cbl                        1
654     ...4     04-10094          reflector & socket assy                           0
655     ...4     5820-09078-00     pm1560 02-06-2101                                 0
656     ...4     5791-10770-00     3p11625 03-06-2032 nmt sm                         0
657     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
658     ..3      31-3551-2         playfield special plastics                        1
659     ..3      31-3551-1B        playfield special plastics                        1
660     ..3      07-6688-20N       rivet 1/4X1/8 nickel                              4
661     .2       A-23157           neon saber assy                                   1
662     ..3      03-10009.1        saber tube                                        1
663     ..3      03-10010          saber handle                                      1
664     ..3      23-6534-3         rubber protector 1 1/2                            1
665     ..3      24-8901           neon tube                                         1
666     ..3      20-10458-1        neon end cap-black                                2
667     ..3      04-10947          transformer-neon                                  1
668     ..3      03-10017.1        top cover-transformer                             1
669     ..3      03-10018.1        bottom cover-transformer                          1
670     ..3      20-10702          end cap-saber tube                                1
671     ..3      07-6688-22N       rivet 5/16X1/8 nickel                             5
672     ..3      4700-00003-00     fw .125X.281X.032                                 5
673     ..3      16-10507          label-ramp caution                                1
674     .2       A-23162           light tunnel assy                                 2
675     ..3      03-10012          light tunnel                                      2
676     ..3      A-17983           socket & #89 bulb assy                            2
677     ..3      4008-01227-08     ms 8-32x 1/2 pph-s                                2
678     ..3      4408-01119-01     nut 8-32 esna/ntm                                 2
679     ..3      H-23021-4         general flasher 2 pin cbl                         2
680     ...4     03-7520-2         tie wrap-nylon 3 7/8                              2
681     ...4     5791-13776-02     conn-plug minifit jr free hang                    2
682     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          4
683     ...4     CW-30022-2        wire 22awg red                                    8
684     ...4     CW-30022-6        wire 22awg blue                                   8
685     .2       A-23163           socket & bulb w/diode                            31
686     ..3      04-10514          socket & bulb                                    31
687     ..3      5070-09054-00     diode-1N4004 1.0a                                31
688     .2       A-23164           socket & cbl assy                                 1
689     ..3      A-17836-1         socket & bulb assy                                1
690     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
691     ..3      H-23020-6         general lamp 2 pin cbl                            1
692     ...4     03-7520-2         tie wrap-nylon 3 7/8                              1
693     ...4     5791-13776-02     conn-plug minifit jr free hang                    1
694     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          2
695     ...4     CW-30022-4        wire 22awg yellow                                 6
696     ...4     CW-30022-1        wire 22awg brown                                  6
697     .2       A-23168           ball guard assy                                   1
698     ..3      01-15206          brkt-ball guard                                   1
699     ..3      23-6702           pad-bumper plug                                   1
700     .2       A-23169           ball guide #7 assy                                1
701     ..3      01-15189          ball guide #7                                     1
702     ..3      23-6686           pad-round                                         1
703     .2       A-23170           ball popper assy                                  1
704     ..3      04-12745          brkt-ball popper                                  1
705     ..3      AE1-26-1500       coil assy                                         1
706     ...4     16-8943-32        coil tape 1 3/8 wide                              0
707     ...4     A-22592           small bobbin assy                                 0
708     ....5    03-7041-1         bobbin                                            0
709     ....5    01-14673-1        terminal-coil                                     0
710     ....5    07-6688-17        rivet 5/32X1/8                                    0
711     ....5    01-15016          terminal-coil .25                                 0
712     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
713     ..3      03-7067           tubing-coil                                       1
714     ..3      10-135            spring-plunger                                    1
715     ..3      23-6420           grommet                                           1
716     ..3      04-10910-1        brkt-5/8 coil centering                           1
717     ..3      A-17767           bell armature assy                                1
718     ..3      4408-01119-01     nut 8-32 esna/ntm                                 2
719     ..3      4106-01013-06     sms #6 x 3/8 p-ph t-25                            4
720     ..3      A-16908           opto led assy                                     1
721     ...4     03-8506-1         base-opto mtg-white                               1
722     ...4     4104-01001-06     sms #4X3/8 p-ph-a                                 1
723     ...4     A-14231           led assy                                          1
724     ....5    5671-12731-00     led diode infra red                               0
725     ....5    5768-13155-02     pcb-single IR LED (green mask)                    0
726     ..3      A-16909           opto p/t assy                                     1
727     ...4     03-8506           base-opto mtg-black                               1
728     ...4     4104-01001-06     sms #4X3/8 p-ph-a                                 1
729     ...4     A-14232           photo trans assy                                  1
730     ....5    5768-13154-04     pcb-phot trans                                    0
731     ....5    5163-12732-00     trans npn photo                                   0
732     .....6   5163-14114-00     trans-photo infra red T1&3/4                      0
733     ..3      H-23022-8         general opto square 4 pin cbl                     1
734     ...4     5791-13776-04     4 pin mimifit jr male                             1
735     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          4
736     ...4     CW-30022-84       wire 22awg gry/yel                                8
737     ...4     CW-30022-3        wire 22awg orange                                 8
738     ...4     CW-30022-0        wire 22awg black                                  8
739     ...4     CW-30022-8        wire 22awg gray                                   8
740     ...4     03-7520-2         tie wrap-nylon 3 7/8                              3
741     ..3      03-9454           "cable tie 4"" long"                              1
742     .2       A-23173           21 lamp pcb assy                                  1
743     ..3      04-12746          21 lamp pcb assy                                  1
744     ...4     5768-16219-00     pcb 21 lamp                                       0
745     ...4     24-8767           socket-pcb twist                                  0
746     ...4     24-8768           bulb #555 6.3Volts .25Amps                        0
747     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
748     ...4     5791-10871-11     11h spl sq pin.156                                0
749     ...4     5010-09534-00     res 0ohm 0w                                       0
750     ..3      03-9255-3         spacer #8 x .541                                  6
751     .2       A-23174           12 lamp pcb assy                                  1
752     ..3      04-12747          12 lamp pcb assy                                  1
753     ...4     24-8767           socket-pcb twist                                  0
754     ...4     24-8768           bulb #555 6.3Volts .25Amps                        0
755     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
756     ...4     5791-10871-08     8h spl sq pin .156                                0
757     ...4     5768-16218-01     pcb 12 lamp                                       0
758     ..3      03-9255-3         spacer #8 x .541                                  4
759     .2       A-23175           8 lamp pcb assy                                   1
760     ..3      04-12748.1        8 lamp pcb assy                                   1
761     ...4     5768-16220-03     pcb-8 lamp                                        0
762     ...4     24-8767           socket-pcb twist                                  0
763     ...4     24-8768           bulb #555 6.3Volts .25Amps                        0
764     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
765     ...4     5791-10871-07     7h spl sq pin .156                                0
766     ..3      03-9255-3         spacer #8 x .541                                  3
767     .2       A-23176           4 lamp pcb assy                                   1
768     ..3      04-12749          4 lamp pcb assy                                   1
769     ...4     5768-16215-01     pcb 4 lamp                                        0
770     ...4     24-8767           socket-pcb twist                                  0
771     ...4     24-8768           bulb #555 6.3Volts .25Amps                        0
772     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
773     ...4     5791-10871-06     6h spl sq pin .156                                0
774     ..3      03-9255-3         spacer #8 x .541                                  3
775     .2       A-23177           3 lamp pcb left assy                              1
776     ..3      04-12750          3 lamp pcb left assy                              1
777     ...4     5768-16216-00     pcb 3 lamp left                                   0
778     ...4     24-8767           socket-pcb twist                                  0
779     ...4     24-8768           bulb #555 6.3Volts .25Amps                        0
780     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
781     ...4     5791-10871-05     5h spl sq pin .156                                0
782     ..3      03-9255-3         spacer #8 x .541                                  2
783     .2       A-23178           3 lamp pcb right assy                             1
784     ..3      04-12751          3 lamp pcb right assy                             1
785     ...4     5768-16217-00     pcb 3 lamp right                                  0
786     ...4     24-8767           socket-pcb twist                                  0
787     ...4     24-8768           bulb #555 6.3Volts .25Amps                        0
788     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
789     ...4     5791-10871-05     5h spl sq pin .156                                0
790     ..3      03-9255-3         spacer #8 x .541                                  2
791     .2       A-23291           ball popper scoop assy                            1
792     ..3      01-15207.1        scoop-ball popper ramp                            1
793     ..3      23-6686           pad-round                                         2
794     .2       A-23292-1         "cable mtg brkt assy 1/2"""                       3
795     ..3      01-15213-1        brkt-cable mtg                                    3
796     ..3      03-7655-8         "clamp cable 1/2""dia"                            3
797     ..3      4008-01227-06     ms 8-32x 3/8 pin head sems                        3
798     .2       A-23292-2         "cable mtg brkt assy 1"""                         7
799     ..3      01-15213-2        brkt-cable mtg                                    7
800     ..3      03-7655-16        "clamp cable 1""dia"                              7
801     ..3      4008-01227-06     ms 8-32x 3/8 pin head sems                        7
802     .2       A-23292-3         "cable mtg brkt assy 1"""                         3
803     ..3      01-15213-1        brkt-cable mtg                                    3
804     ..3      03-7655-16        "clamp cable 1""dia"                              3
805     ..3      4008-01227-06     ms 8-32x 3/8 pin head sems                        3
806     .2       A-23293           1 bank drop target assy                           1
807     ..3      03-8750           tgt-flush                                         1
808     ..3      A-14617           brkt & post assy                                  1
809     ..3      4408-01119-01     nut 8-32 esna/ntm                                 4
810     ..3      A-11397           drop tgt stop bkt                                 1
811     ..3      AE1-26-1200       coil assy                                         1
812     ...4     16-8943-30        coil tape 1 3/8 wide                              0
813     ...4     A-22592           small bobbin assy                                 0
814     ....5    03-7041-1         bobbin                                            0
815     ....5    01-14673-1        terminal-coil                                     0
816     ....5    07-6688-17        rivet 5/32X1/8                                    0
817     ....5    01-15016          terminal-coil .25                                 0
818     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
819     ..3      01-8413           brkt coil mtg                                     1
820     ..3      03-7066-4         tubing-coil                                       1
821     ..3      A-11388-2         plunger & reset plate assy                        1
822     ...4     02-3972-1         plunger                                           1
823     ...4     01-10380          plate-sngl target reset                           1
824     ...4     4410-01132-01     nut 10-32 esna/ntm                                1
825     ..3      4700-00072-00     fw .265X.500X.032                                 4
826     ..3      10-392            spring-extension                                  1
827     ..3      20-8712-25        e ring 1/4 shaft                                  2
828     ..3      01-10183          brkt switch                                       1
829     ..3      4006-01003-04     ms 6-32X1/4 p-ph-s                                6
830     ..3      4010-01025-14     ms 10-32X7/8 p-rh                                 1
831     ..3      10-433            spring-extension                                  1
832     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
833     ..3      5647-12693-31     switch sub mini micro                             1
834     ..3      01-8600           insulator                                         1
835     ..3      4002-01105-10     ms 2-56x5/8 p-ph-s                                2
836     ..3      A-15821           armature sub assy                                 1
837     ..3      A-14913           frame & eyelet assy                               1
838     ..3      03-8034           stop-single target                                1
839     ..3      07-6688-17N       rivet 5/32X1/8 nickel                             2
840     ..3      03-8630           guide actuator                                    1
841     ..3      4700-00003-00     fw .125X.281X.032                                 1
842     ..3      01-8240           plate-nut #2-56                                   1
843     ..3      01-8647-L         actuator                                          1
844     ..3      10-363            spring-extension                                  1
845     ..3      SM1-26-600        coil assy                                         1
846     ...4     A-11147-1         bobbin assy                                       0
847     ....5    02-3910           core coil                                         0
848     ....5    03-7045           bobbin                                            0
849     ....5    5825-08639-00     sld lg berg #3056                                 0
850     ...4     MW-130-26         magnet wire-130deg c sns 26ga                     0
851     ...4     16-8797-10        coil tape-9/16 wide                               0
852     ..3      4008-01021-06     ms 8-32X3/8 p-rh-brass                            1
853     ..3      4700-00089-00     fw .172X.437X.062 brass                           1
854     ..3      4701-00003-00     lw #8 split                                       1
855     ..3      H-21778-4         gen sw 2 pin cable w/ty wraps                     1
856     ...4     5791-10772-00     2P11625 03-06-2023                                1
857     ...4     5820-09078-00     pm1560 02-06-2101                                 2
858     ...4     03-7520-2         tie wrap-nylon 3 7/8                              1
859     ...4     CW-30022-5        wire 22awg green                                  4
860     ...4     CW-30022-9        wire 22awg white                                  4
861     ..3      H-19523           2 pin cable-solenoid                              1
862     ...4     5791-12570-00     1545-Z 03-09-2022                                 1
863     ...4     5820-09080-00     terminal-pm1190 02-09-2101                        2
864     ...4     HW-30018-2        wire 18awg red                                    3
865     ...4     HW-30018-7        wire 18awg violet                                 3
866     .2       A-23298-1         playfield plastic assy #1                         1
867     ..3      31-3541-1B        playfield plastic                                 1
868     ..3      03-8365-30        post #8 tr-lite blue                              1
869     ..3      4408-01119-01     nut 8-32 esna/ntm                                 1
870     ..3      4008-01227-24     ms 8-32x 1 1/2 pin head sems                      1
871     .2       A-23298-2         playfield plastic assy #2                         1
872     ..3      31-3541-15        playfield plastic-50069                           1
873     ..3      03-8044-13        post mini-clear                                   1
874     ..3      23-6694-1         "black rubber grommet 3/32"""                     1
875     ..3      4106-01114-08     tcs #6X1/2 pl-hwh t-17                            1
876     .2       A-23298-3         playfield plastic assy #3                         1
877     ..3      01-15225          brkt-ball deflect                                 1
878     ..3      31-3541-13        playfield plastic-50069                           1
879     ..3      31-3541-14C       playfield plastic-50069                           1
880     ..3      03-9255-3         spacer #8 x .541                                  4
881     ..3      07-6688-18N       rivet 3/16X1/8 nickel                             2
882     ..3      4700-00003-00     fw .125X.281X.032                                 2
883     ..3      4108-01219-26     sms #8 X 1 5/8 pin hd-ab spcl                     2
884     .2       A-23298-6         plaufield plastic assy #6                         1
885     ..3      31-3541-11B       playfield plastic                                 1
886     ..3      03-8130-13        post double star-clear                            1
887     ..3      4008-01227-30     ms 8-32x 1 7/8 pin head sems                      1
888     ..3      4408-01119-01     nut 8-32 esna/ntm                                 1
889     .2       A-23298-4         playfield plastic assy #4                         1
890     ..3      03-9255-3         spacer #8 x .541                                  2
891     ..3      4108-01219-16     sms #8 x 1 pin hd-ab spcl                         2
892     ..3      31-3541-17        playfield plastic-50069                           1
893     .2       A-23298-7         playfield plastic assy #7                         1
894     ..3      31-3541-7A        playfield plastic                                 1
895     ..3      03-8044-13        post mini-clear                                   1
896     ..3      4106-01114-08     tcs #6X1/2 pl-hwh t-17                            1
897     .2       A-23298-8         plaufield plastic assy #8                         1
898     ..3      31-3541-8A        playfield plastic                                 1
899     ..3      03-8044-13        post mini-clear                                   1
900     ..3      4106-01114-08     tcs #6X1/2 pl-hwh t-17                            1
901     .2       A-23403           bumper gate assy                                  1
902     ..3      01-15216          brkt-bumper gate                                  1
903     ..3      12-7457.1         wire-bumper gate                                  1
904     .2       A-23407           1 bank drop tgt assy                              1
905     ..3      03-8750           tgt-flush                                         1
906     ..3      A-14617           brkt & post assy                                  1
907     ..3      4408-01119-01     nut 8-32 esna/ntm                                 4
908     ..3      A-11397           drop tgt stop bkt                                 1
909     ..3      AE1-26-1200       coil assy                                         1
910     ...4     16-8943-30        coil tape 1 3/8 wide                              0
911     ...4     A-22592           small bobbin assy                                 0
912     ....5    03-7041-1         bobbin                                            0
913     ....5    01-14673-1        terminal-coil                                     0
914     ....5    07-6688-17        rivet 5/32X1/8                                    0
915     ....5    01-15016          terminal-coil .25                                 0
916     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
917     ..3      01-8413           brkt coil mtg                                     1
918     ..3      03-7066-4         tubing-coil                                       1
919     ..3      A-11388-2         plunger & reset plate assy                        1
920     ...4     02-3972-1         plunger                                           1
921     ...4     01-10380          plate-sngl target reset                           1
922     ...4     4410-01132-01     nut 10-32 esna/ntm                                1
923     ..3      4700-00072-00     fw .265X.500X.032                                 4
924     ..3      10-392            spring-extension                                  1
925     ..3      20-8712-25        e ring 1/4 shaft                                  2
926     ..3      01-10183          brkt switch                                       1
927     ..3      4006-01003-04     ms 6-32X1/4 p-ph-s                                6
928     ..3      03-8034           stop-single target                                1
929     ..3      4010-01025-14     ms 10-32X7/8 p-rh                                 1
930     ..3      07-6688-17N       rivet 5/32X1/8 nickel                             2
931     ..3      10-433            spring-extension                                  1
932     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
933     ..3      5647-12693-31     switch sub mini micro                             1
934     ..3      01-8600           insulator                                         1
935     ..3      4002-01105-10     ms 2-56x5/8 p-ph-s                                2
936     ..3      01-8240           plate-nut #2-56                                   1
937     ..3      01-8647-R         actuator                                          1
938     ..3      03-8630           guide actuator                                    1
939     ..3      A-15821           armature sub assy                                 1
940     ..3      A-15209           frame & eyelet assy                               1
941     ..3      10-363            spring-extension                                  1
942     ..3      SM1-26-600        coil assy                                         1
943     ...4     A-11147-1         bobbin assy                                       0
944     ....5    02-3910           core coil                                         0
945     ....5    03-7045           bobbin                                            0
946     ....5    5825-08639-00     sld lg berg #3056                                 0
947     ...4     MW-130-26         magnet wire-130deg c sns 26ga                     0
948     ...4     16-8797-10        coil tape-9/16 wide                               0
949     ..3      4008-01021-06     ms 8-32X3/8 p-rh-brass                            1
950     ..3      4700-00089-00     fw .172X.437X.062 brass                           1
951     ..3      4701-00003-00     lw #8 split                                       1
952     ..3      H-23019-2         general switch 2 pin cbl                          1
953     ...4     5791-13776-02     conn-plug minifit jr free hang                    1
954     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          2
955     ...4     CW-30022-5        wire 22awg green                                  2
956     ...4     CW-30022-9        wire 22awg white                                  2
957     ..3      H-19523           2 pin cable-solenoid                              1
958     ...4     5791-12570-00     1545-Z 03-09-2022                                 1
959     ...4     5820-09080-00     terminal-pm1190 02-09-2101                        2
960     ...4     HW-30018-2        wire 18awg red                                    3
961     ...4     HW-30018-7        wire 18awg violet                                 3
962     ..3      4700-00003-00     fw .125X.281X.032                                 1
963     .2       A-23411           royal starship assy                               1
964     ..3      01-15211.1        brkt-royal starship                               1
965     ..3      31-3561           royal starship                                    1
966     ..3      20-10705-19       8mm  m2.5 ph taptite thd-form                     2
967     ..3      4700-00003-00     fw .125X.281X.032                                 2
968     .2       B-9414-8          jet bumper assy trp lite blue                     3
969     ..3      A-4754            bumper ring assy                                  3
970     ..3      03-6009-A5        bumper wht base                                   3
971     ..3      03-6035-31        thmper bmpr wafer-opq lite blu                    3
972     ..3      03-7443-5         bumper body wht                                   3
973     ..3      10-7              spring-jet bumper                                 3
974     ..3      24-8768           bulb #555 6.3Volts .25Amps                        3
975     ..3      24-8776           socket-wedge base                                 3
976     .2       B-12030-2         jet bumper-leaf switch assy                       3
977     ..3      A-16443           jet bumper switch & diode assy                    3
978     ...4     SW-11A-37         switch-jet bumper                                 3
979     ....5    A-8198            blade & contact assy                              3
980     .....6   06-1-14           blade-contact                                     3
981     .....6   5860-09374-00     cp prec met 7309fs                                3
982     ....5    A-8199            blade & contact assy                              3
983     .....6   06-68D-8          blade-contact                                     3
984     .....6   5860-09374-00     cp prec met 7309fs                                3
985     ....5    01-916-Q          "spacer- 1/64"""                                  3
986     ....5    01-916-H          "spacer- 3/32"""                                  9
987     ....5    01-916-S          "spacer-tight 1/16"""                             6
988     ....5    03-7007-7A        "tubing 15/32"" LONG"                             6
989     ....5    06-17             blade-side lug                                    3
990     ....5    06-21B-12         blade-contact                                     3
991     ...4     5070-09054-00     diode-1N4004 1.0a                                 3
992     ..3      01-1168           brkt bumper switch mounting                       3
993     ..3      01-3670           plate-switch curved                               3
994     ..3      03-7395           switch actuator                                   3
995     ..3      4005-01003-12     ms 5-40x3/4 p-phs                                 6
996     ..3      4405-01117-00     nut 5-40 hex                                      6
997     .2       H-23180           plfd switch cable-50069                           1
998     ..3      03-7520-2         tie wrap-nylon 3 7/8                             64
999     ..3      5791-14003-22     con-plug minifit 39-01-2221                       1
1000    ..3      5792-10771-00     3R11625 03-06-1032                                3
1001    ..3      5792-10773-00     2R11625 03-06-1023                                4
1002    ..3      5792-10847-05     5r mt/thru 22/156                                 1
1003    ..3      5792-10847-12     12r mt/thru 22/156                                1
1004    ..3      5792-13355-02     conn-female wire mnt 0.165 ctr                    2
1005    ..3      5820-13730-02     pin-mini fit jr 18-22awg                         18
1006    ..3      5821-09079-00     pf1561 02-06-1101                                15
1007    ..3      5821-13771-02     socket-female minifit BMI                         4
1008    ..3      5822-10872-06     term 22-18 TAB.110                                8
1009    ..3      5823-10820-00     "plz key mt .156"""                               2
1010    ..3      RM-35-2           label color code orange                           1
1011    ..3      CW-30022-51       wire 22awg grn/brn                              124
1012    ..3      CW-30022-52       wire 22awg grn/red                              195
1013    ..3      CW-30022-53       wire 22awg grn/org                               88
1014    ..3      CW-30022-59       wire 22awg grn/wht                               40
1015    ..3      CW-30022-50       wire 22awg grn/blk                              116
1016    ..3      CW-30022-56       wire 22awg grn/blu                              157
1017    ..3      CW-30022-91       wire 22awg wht/brn                              126
1018    ..3      CW-30022-92       wire 22awg wht/red                              104
1019    ..3      CW-30022-93       wire 22awg wht/org                              112
1020    ..3      CW-30022-94       wire 22awg wht/yel                               97
1021    ..3      CW-30022-95       wire 22awg wht/grn                              126
1022    ..3      CW-30022-96       wire 22awg wht/blu                              126
1023    ..3      CW-30022-97       wire 22awg wht/vio                              126
1024    ..3      CW-30022-98       wire 22awg wht/gry                              108
