ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
116     ...4     5070-09054-00     diode-1N4004 1.0a                                 2
117     ..3      CW-30022-5        wire 22awg green                                 10
118     ..3      CW-30022-9        wire 22awg white                                 10
119     .2       A-17802           socket & #906 bulb assy                           5
120     .2       A-17835           socket & #44 bulb assy w/dio                      6
121     ..3      A-17835-1         socket & bulb assy                                6
122     ..3      5070-09054-00     diode-1N4004 1.0a                                 6
123     .2       A-18008-2         rollover button assy                              2
124     ..3      A-16443           jet bumper switch & diode assy                    2
125     ...4     SW-11A-37         switch-jet bumper                                 2
126     ....5    A-8198            blade & contact assy                              2
127     .....6   06-1-14           blade-contact                                     2
128     .....6   5860-09374-00     cp prec met 7309fs                                2
129     ....5    A-8199            blade & contact assy                              2
130     .....6   06-68D-8          blade-contact                                     2
131     .....6   5860-09374-00     cp prec met 7309fs                                2
132     ....5    01-916-Q          "spacer- 1/64"""                                  2
133     ....5    01-916-H          "spacer- 3/32"""                                  6
134     ....5    01-916-S          "spacer-tight 1/16"""                             4
135     ....5    03-7007-7A        "tubing 15/32"" LONG"                             4
136     ....5    06-17             blade-side lug                                    2
137     ....5    06-21B-12         blade-contact                                     2
138     ...4     5070-09054-00     diode-1N4004 1.0a                                 2
139     ..3      A-17807           socket & #44 bulb assy w/dio                      2
140     ...4     A-17806           socket & bulb assy                                2
141     ...4     5070-09054-00     diode-1N4004 1.0a                                 2
142     ..3      03-9104           base-rollover                                     2
143     ..3      03-9103.1-8       button-rollover                                   2
144     ..3      4005-01003-12     ms 5-40x3/4 p-phs                                 4
145     ..3      01-3670           plate-switch curved                               2
146     ..3      01-12823          plate-nut 5-40                                    2
147     ..3      H-23185.1         rollover sw/lmp cable                             2
148     ...4     03-7520-2         tie wrap-nylon 3 7/8                              2
149     ...4     5791-10770-00     3p11625 03-06-2032 nmt sm                         2
150     ...4     5791-13776-02     conn-plug minifit jr free hang                    2
151     ...4     5820-09078-00     pm1560 02-06-2101                                 4
152     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          4
153     ...4     CW-30022-4        wire 22awg yellow                                12
154     ...4     CW-30022-1        wire 22awg brown                                 12
155     ...4     CW-30022-5        wire 22awg green                                 16
156     ...4     CW-30022-9        wire 22awg white                                 16
157     .2       A-18058-15        stationary target assy                            3
158     ..3      A-11175           bld & contact assy                                3
159     ...4     06-1-14           blade-contact                                     3
160     ...4     5860-09374-00     cp prec met 7309fs                                3
161     ..3      A-8378            blade & contact assy                              3
162     ...4     06-13G-14         blade-contact                                     3
163     ...4     5860-09374-00     cp prec met 7309fs                                3
164     ..3      01-12346-1        brkt-switch mtg 90degree olive                    3
165     ..3      01-8657-1         stop-switch limit                                 3
166     ..3      01-916-H          "spacer- 3/32"""                                  3
167     ..3      01-916-S          "spacer-tight 1/16"""                             6
168     ..3      01-916-Q          "spacer- 1/64"""                                  3
169     ..3      01-3670           plate-switch curved                               3
170     ..3      03-7007-6         "tubing-3/8"""                                    6
171     ..3      03-8304-15        tgt sq skirt stat-op orange                       3
172     ..3      06-20-20          blade-back up                                     6
173     ..3      06-73-2           blade-insulator                                   3
174     ..3      07-6688-27        rivet 9/16X1/8                                    6
175     ..3      07-6697-4         rivet .125X.187x.218 zinc                         3
176     ..3      4700-00003-00     fw .125X.281X.032                                 3
177     ..3      5070-09054-00     diode-1N4004 1.0a                                 3
178     ..3      06-1F-14          blade-contact                                     6
179     .2       A-18606-6         stat tgt-bck mtg90 rnd op-yell                    3
180     ..3      SW-1A-170-6       switch-stationry tgt                              3
181     ...4     A-11175           bld & contact assy                                3
182     ....5    06-1-14           blade-contact                                     3
183     ....5    5860-09374-00     cp prec met 7309fs                                3
184     ...4     B-11695-6         blade & target assy                               3
185     ....5    A-8378            blade & contact assy                              3
186     .....6   06-13G-14         blade-contact                                     3
187     .....6   5860-09374-00     cp prec met 7309fs                                3
188     ....5    03-8093-6         "tgt 1""round-op yellow"                          3
189     ....5    07-6697-4         rivet .125X.187x.218 zinc                         3
190     ....5    4700-00003-00     fw .125X.281X.032                                 3
191     ...4     01-916-H          "spacer- 3/32"""                                  3
192     ...4     01-916-S          "spacer-tight 1/16"""                             6
193     ...4     01-916-T          "spacer- 1/32"""                                  3
194     ...4     01-916-Q          "spacer- 1/64"""                                  3
195     ...4     03-7007-6         "tubing-3/8"""                                    6
196     ...4     06-1F-14          blade-contact                                     6
197     ...4     06-20-20          blade-back up                                     6
198     ...4     06-73-2           blade-insulator                                   3
199     ..3      01-3670           plate-switch curved                               3
200     ..3      01-8657           brkt stop                                         3
201     ..3      01-12346-1        brkt-switch mtg 90degree olive                    3
202     ..3      07-6688-27        rivet 9/16X1/8                                    6
203     ..3      5070-09054-00     diode-1N4004 1.0a                                 3
204     .2       A-17807           socket & #44 bulb assy w/dio                      5
205     ..3      A-17806           socket & bulb assy                                5
206     ..3      5070-09054-00     diode-1N4004 1.0a                                 5
207     .2       A-17983           socket & #89 bulb assy                            2
208     .2       A-19963-4         ball trough assy-comp                             1
209     ..3      A-16809-2         ball trough welded assy                           1
210     ..3      01-11587          trough-ball front                                 1
211     ..3      A-6306-2          bell armature assy                                1
212     ..3      AE1-26-1500       coil assy                                         1
213     ...4     16-8943-32        coil tape 1 3/8 wide                              0
214     ...4     A-22592           small bobbin assy                                 0
215     ....5    03-7041-1         bobbin                                            0
216     ....5    01-14673-1        terminal-coil                                     0
217     ....5    07-6688-17        rivet 5/32X1/8                                    0
218     ....5    01-15016          terminal-coil .25                                 0
219     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
220     ..3      01-8-508-T        brkt coil retainer                                1
221     ..3      03-7067-5         tubing-coil                                       1
222     ..3      10-135            spring-plunger                                    1
223     ..3      23-6420           grommet                                           1
224     ..3      03-8523           insulator                                         1
225     ..3      01-11586          brkt coil mtg                                     1
226     ..3      4008-01227-05     ms 8-32 X 5/16 pin head-sems                      6
227     ..3      4408-01119-00     nut 8-32 esn                                      4
228     ..3      23-6702           pad-bumper plug                                   1
229     ..3      4006-01003-10     ms 6-32x5/8 p-ph-s                                6
230     ..3      23-6626           grommet                                           6
231     ..3      4700-00004-00     fw .146X.375X.032                                 6
232     ..3      02-4975           bushing                                           6
233     ..3      A-18617-1         trough 5 ired led pcb assy                        1
234     ...4     5768-14121-02     pcb ball trough led                               0
235     ...4     5671-12731-00     led diode infra red                               0
236     ...4     5791-12622-09     9h r/a lck hdr .100 solid tab                     0
237     ..3      A-18618-1         trough 5 ired trans pcb assy                      1
238     ...4     5768-14122-02     pcb ball trough opto                              0
239     ...4     5163-14114-00     trans-photo infra red T1&3/4                      0
240     ...4     5791-12622-09     9h r/a lck hdr .100 solid tab                     0
241     .2       A-20246           10 opto pcb assy w/brkts                          1
242     ..3      01-10756          brkt pcb mtg                                      2
243     ..3      07-6688-18N       rivet 3/16X1/8 nickel                             4
244     ..3      A-18159.1         10 opto pcb assy                                  1
245     ...4     A-18159.1-AI      10 opto pcb assy                                  0
246     ....5    5768-14075-01     pcb-10 opto                                       0
247     ....5    5043-08996-00     cap 0.1UF 50v +/-20 axial Z5U                     0
248     ....5    5070-09054-00     diode-1N4004 1.0a                                 0
249     ....5    5010-09999-00     res 2K 1/4 W 5%                                   0
250     ....5    5010-09162-00     res 100k 1/4w 5%                                  0
251     ....5    5010-08774-00     res 22K 1/4W 5%                                   0
252     ....5    5010-08776-00     res 68k 1/4w 5%                                   0
253     ...4     5040-10974-00     cap 100M 35V radial                               0
254     ...4     5671-13732-00     led dspl red                                      0
