ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
523     ..3      04-10910-7        brkt 5/8 coil centering                           2
524     ..3      4408-01119-01     nut 8-32 esna/ntm                                 8
525     .2       A-22970           diverter paddle assy                              1
526     ..3      02-5471           diverter shaft                                    1
527     ..3      01-15127.1        diverter paddle                                   1
528     ..3      20-8712-25        e ring 1/4 shaft                                  1
529     ..3      07-6688-21N       rivet 9/32X1/8 nickel                             2
530     ..3      4700-00003-00     fw .125X.281X.032                                 2
531     .2       A-22993           diverter mech assy                                1
532     ..3      04-12619          brkt-diverter mech.                               1
533     ..3      04-10911-6        brkt-3/4 coil centering                           1
534     ..3      04-10911-1        brkt-3/4 coil centering                           1
535     ..3      20-8790           nyliner bearing                                   1
536     ..3      FL1-22241         flipper coil-brown                                1
537     ...4     16-8799-33        coil tape 1 7/8 brown                             0
538     ...4     A-22588           flipper bobbin assy                               0
539     ....5    03-7565           bobbin                                            0
540     ....5    01-14673-1        terminal-coil                                     0
541     ....5    01-15016          terminal-coil .25                                 0
542     ....5    07-6688-17        rivet 5/32X1/8                                    0
543     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
544     ..3      4008-01227-06     ms 8-32x 3/8 pin head sems                        2
545     ..3      4408-01119-01     nut 8-32 esna/ntm                                 2
546     ..3      03-7066-5         tubing-coil                                       1
547     ..3      A-16636           diverter plunger assy                             1
548     ...4     02-4793           plunger-diverter                                  1
549     ...4     10-389            spring-gate                                       1
550     ...4     20-8716-5         pin roll 1/8 x 7/16                               1
551     ...4     20-8712-43        e ring 7/16 shaft                                 1
552     ..3      10-303            spring-master                                     1
553     ..3      04-10408          drive arm assy                                    1
554     ..3      4010-01169-04     ss 10-32X1/4 sh-cp-n                              1
555     .2       A-22992           ball catcher assy                                 1
556     ..3      01-15204.2        brkt-ball catcher abt                             1
557     ..3      01-15193.2        brkt-catcher main                                 1
558     ..3      01-15194          brkt-backstop mtg                                 1
559     ..3      01-15218          plate-switch protector                            1
560     ..3      03-10008          ball catcher backstop                             1
561     ..3      02-5476           shaft-ball catcher                                1
562     ..3      5647-12693-11     switch sub mini micro                             1
563     ..3      01-8600           insulator                                         1
564     ..3      01-8240           plate-nut #2-56                                   1
565     ..3      20-8712-18        e ring 3/16 shaft                                 2
566     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
567     ..3      H-23019-8         general switch 2 pin cbl                          1
568     ...4     03-7520-2         tie wrap-nylon 3 7/8                              2
569     ...4     5791-13776-02     conn-plug minifit jr free hang                    1
570     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          2
571     ...4     CW-30022-5        wire 22awg green                                  8
572     ...4     CW-30022-9        wire 22awg white                                  8
573     ..3      4008-01220-08     ms 8-32 X 1/2 pin head                            4
574     ..3      4002-01105-10     ms 2-56x5/8 p-ph-s                                2
575     ..3      10-562.1          spring-ball catcher                               1
576     ..3      4408-01119-01     nut 8-32 esna/ntm                                 4
577     ..3      31-3547-1         ball catcher decal                                1
578     ..3      31-3549           backstop decal                                    1
579     ..3      4008-01227-04     ms 8-32x 1/4 pin head sems                        2
580     .2       A-22969           ball guide #4 assy                                1
581     ..3      04-12601.1        ballguide no. 4                                   1
582     ..3      23-6766           bumper-ball guide                                 1
583     ..3      4004-01073-04B    cs 4-40X1/4 btn-hd                                1
584     ..3      04-10253          guard-ball guide                                  1
585     ..3      23-6686           pad-round                                         2
586     .2       A-22977           up/down post assy                                 1
587     ..3      01-15217          brkt-lock post                                    1
588     ..3      A-17986           bell armature assy                                1
589     ..3      03-7067-5         tubing-coil                                       1
590     ..3      04-10910-1        brkt-5/8 coil centering                           1
591     ..3      AE1-26-1500       coil assy                                         1
592     ...4     16-8943-32        coil tape 1 3/8 wide                              0
593     ...4     A-22592           small bobbin assy                                 0
594     ....5    03-7041-1         bobbin                                            0
595     ....5    01-14673-1        terminal-coil                                     0
596     ....5    07-6688-17        rivet 5/32X1/8                                    0
597     ....5    01-15016          terminal-coil .25                                 0
598     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
599     ..3      23-6420           grommet                                           1
600     ..3      4408-01119-01     nut 8-32 esna/ntm                                 2
601     ..3      10-135            spring-plunger                                    1
602     .2       A-22983           4 lamp assy w/feet                                2
603     ..3      04-12611          4 lamp assy                                       2
604     ...4     5768-16060-00     pcb 4 lamp                                        0
605     ...4     24-8767           socket-pcb twist                                  0
606     ...4     24-8768           bulb #555 6.3Volts .25Amps                        0
607     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
608     ...4     5791-10871-06     6h spl sq pin .156                                0
609     ..3      03-9255-3         spacer #8 x .541                                  6
610     .2       A-22986           8 lamp assy w/feet                                1
611     ..3      04-12613          8 lamp assy                                       1
612     ...4     5768-16062-00     pcb 8 lamp                                        0
613     ...4     24-8767           socket-pcb twist                                  0
614     ...4     24-8768           bulb #555 6.3Volts .25Amps                        0
615     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
616     ...4     5791-10871-07     7h spl sq pin .156                                0
617     ..3      03-9255-3         spacer #8 x .541                                  3
618     .2       A-22987           28 lamp assy w/feet                               1
619     ..3      04-12614          28 lamp assy                                      1
620     ...4     5768-16063-00     pcb 28 lamp                                       0
621     ...4     24-8767           socket-pcb twist                                  0
622     ...4     24-8768           bulb #555 6.3Volts .25Amps                        0
623     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
624     ...4     5791-10871-12     12h spl sq pin.156                                0
625     ..3      03-9255-3         spacer #8 x .541                                  5
626     .2       A-22989           skip ramp assy                                    1
627     ..3      01-15142          brkt-main                                         1
628     ..3      04-12615          brkt-ramp                                         1
629     ..3      04-12616.2        skip ramp armature assy                           1
630     ..3      04-10911-1        brkt-3/4 coil centering                           1
631     ..3      23-6420           grommet                                           1
632     ..3      03-7067-6         tubing-coil                                       1
633     ..3      4408-01119-01     nut 8-32 esna/ntm                                 2
634     ..3      4008-01227-06     ms 8-32x 3/8 pin head sems                        2
635     ..3      5647-12693-07     switch sub mini micro                             1
636     ..3      01-8240           plate-nut #2-56                                   1
637     ..3      4002-01105-08     ms 2-56x1/2 p-ph-s                                2
638     ..3      01-8600           insulator                                         1
639     ..3      FL1-11753         flipper coil-yellow                               1
640     ...4     16-8799-32        coil tape 1 7/8 yellow                            0
641     ...4     A-22588           flipper bobbin assy                               0
642     ....5    03-7565           bobbin                                            0
643     ....5    01-14673-1        terminal-coil                                     0
644     ....5    01-15016          terminal-coil .25                                 0
645     ....5    07-6688-17        rivet 5/32X1/8                                    0
646     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
647     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
648     ..3      H-23019-2         general switch 2 pin cbl                          1
649     ...4     5791-13776-02     conn-plug minifit jr free hang                    1
650     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          2
651     ...4     CW-30022-5        wire 22awg green                                  2
652     ...4     CW-30022-9        wire 22awg white                                  2
653     .2       A-22988           flap assy                                         1
654     ..3      01-15141          flap-skip ramp                                    1
655     ..3      01-15186.1        brkt-flap mtg                                     1
656     ..3      07-6688-16N       rivet 1/8X1/8 nickel                              2
657     .2       A-23004-R-2       p2000 flpr assy right-blue                        1
658     ..3      A-23000           flipper crank link assy                           1
659     ...4     A-22999           flipper crank assy                                1
660     ....5    01-11764-R        flipper crank-right                               1
661     ....5    01-9376           brkt retain spring                                1
662     ....5    04-11222.1        locking stud                                      1
663     ....5    4410-01127-00     nut 10-32 hex                                     1
664     ....5    4700-00107-00     fw .203X.625X.104                                 1
665     ....5    4701-00004-00     lw #10 split                                      1
666     ...4     A-15847           flipper link assy                                 1
667     ....5    02-4219           plunger coil                                      1
668     .....6   02-4219.1         plunger-coil                                      1
669     ....5    20-9370-1         pin spl 5/32 x 7/16                               1
670     ....5    03-8753           flipper link                                      1
671     ...4     02-4676           bushing link spacer                               1
672     ...4     4010-01086-14     cs 10-32X7/8 sh                                   1
673     ...4     4700-00023-00     fw .203X.625X.059                                 2
674     ...4     4701-00004-00     lw #10 split                                      1
675     ...4     4410-01132-00     nut 10-32 esn                                     1
676     ..3      A-14877.1-R       flipper brkt sub assy                             1
677     ..3      A-12390           flpr stop brkt                                    1
678     ..3      FL1-11629         flipper coil-blue                                 1
679     ...4     16-8799-29        coil tape 1 7/8 blue                              0
680     ...4     A-22588           flipper bobbin assy                               0
681     ....5    03-7565           bobbin                                            0
682     ....5    01-14673-1        terminal-coil                                     0
683     ....5    01-15016          terminal-coil .25                                 0
684     ....5    07-6688-17        rivet 5/32X1/8                                    0
685     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
686     ..3      01-7695-1         brkt-solenoid                                     1
687     ..3      03-7568           bushing-flipper                                   1
688     ..3      03-7066-5         tubing-coil                                       1
689     ..3      10-364            spring-retractor                                  1
690     ..3      SW-1A-194         switch assy-make                                  1
691     ...4     06-1-20           blade-contact                                     1
692     ...4     06-2V-14          blade-contact                                     1
693     ...4     03-7007-4A        tubing-switch                                     2
694     ...4     01-916-L          "spacer-loose 1/16"""                             2
695     ...4     01-916-S          "spacer-tight 1/16"""                             2
696     ...4     5860-09374-00     cp prec met 7309fs                                1
697     ...4     5860-06244-00     cp prec met 7207FSn                               1
698     ..3      03-9878           shock deflector                                   1
699     ..3      23-6577           rubber bumper plug 5/8                            1
700     ..3      4006-01003-08     ms 6-32X1/2 p-ph-s                                2
701     ..3      01-14998          brkt-switch                                       1
702     ..3      4701-00004-00     lw #10 split                                      2
703     ..3      4006-01003-07     ms 6-32x7/16 p-ph-s                               3
704     ..3      4406-01128-00     nut 6-32 keps                                     3
705     ..3      4006-01003-04     ms 6-32X1/4 p-ph-s                                2
706     ..3      4010-01066-06     cs 10-32 X 3/8 sh                                 2
707     ..3      4008-01227-05     ms 8-32 X 5/16 pin head-sems                      2
708     .2       A-23001-L-2       p2000 flpr assy left-blue                         1
709     ..3      A-23000           flipper crank link assy                           1
710     ...4     A-22999           flipper crank assy                                1
711     ....5    01-11764-R        flipper crank-right                               1
712     ....5    01-9376           brkt retain spring                                1
713     ....5    04-11222.1        locking stud                                      1
714     ....5    4410-01127-00     nut 10-32 hex                                     1
715     ....5    4700-00107-00     fw .203X.625X.104                                 1
716     ....5    4701-00004-00     lw #10 split                                      1
717     ...4     A-15847           flipper link assy                                 1
718     ....5    02-4219           plunger coil                                      1
719     .....6   02-4219.1         plunger-coil                                      1
720     ....5    20-9370-1         pin spl 5/32 x 7/16                               1
721     ....5    03-8753           flipper link                                      1
722     ...4     02-4676           bushing link spacer                               1
723     ...4     4010-01086-14     cs 10-32X7/8 sh                                   1
724     ...4     4700-00023-00     fw .203X.625X.059                                 2
725     ...4     4701-00004-00     lw #10 split                                      1
726     ...4     4410-01132-00     nut 10-32 esn                                     1
727     ..3      B-13104.1-L       flipper brkt sub assy                             1
728     ..3      A-12390           flpr stop brkt                                    1
729     ..3      FL1-11629         flipper coil-blue                                 1
730     ...4     16-8799-29        coil tape 1 7/8 blue                              0
731     ...4     A-22588           flipper bobbin assy                               0
732     ....5    03-7565           bobbin                                            0
733     ....5    01-14673-1        terminal-coil                                     0
734     ....5    01-15016          terminal-coil .25                                 0
735     ....5    07-6688-17        rivet 5/32X1/8                                    0
736     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
737     ..3      01-7695-1         brkt-solenoid                                     1
738     ..3      03-7568           bushing-flipper                                   1
739     ..3      03-7066-5         tubing-coil                                       1
740     ..3      10-364            spring-retractor                                  1
741     ..3      SW-1A-194         switch assy-make                                  1
742     ...4     06-1-20           blade-contact                                     1
743     ...4     06-2V-14          blade-contact                                     1
744     ...4     03-7007-4A        tubing-switch                                     2
745     ...4     01-916-L          "spacer-loose 1/16"""                             2
746     ...4     01-916-S          "spacer-tight 1/16"""                             2
747     ...4     5860-09374-00     cp prec met 7309fs                                1
748     ...4     5860-06244-00     cp prec met 7207FSn                               1
749     ..3      03-9878           shock deflector                                   1
750     ..3      23-6577           rubber bumper plug 5/8                            1
751     ..3      4006-01003-08     ms 6-32X1/2 p-ph-s                                2
752     ..3      01-14998          brkt-switch                                       1
753     ..3      4701-00004-00     lw #10 split                                      2
754     ..3      4006-01003-07     ms 6-32x7/16 p-ph-s                               3
755     ..3      4406-01128-00     nut 6-32 keps                                     3
756     ..3      4006-01003-04     ms 6-32X1/4 p-ph-s                                2
757     ..3      4008-01227-05     ms 8-32 X 5/16 pin head-sems                      2
758     ..3      4010-01066-06     cs 10-32 X 3/8 sh                                 2
759     .2       A-23012           opto brkt assy                                    1
760     ..3      01-15162.1        brkt-mounting                                     1
761     ..3      A-16908           opto led assy                                     1
762     ...4     03-8506-1         base-opto mtg-white                               1
763     ...4     4104-01001-06     sms #4X3/8 p-ph-a                                 1
764     ...4     A-14231           led assy                                          1
765     ....5    5671-12731-00     led diode infra red                               0
766     ....5    5768-13155-02     pcb-single IR LED (green mask)                    0
767     ..3      A-16909           opto p/t assy                                     1
768     ...4     03-8506           base-opto mtg-black                               1
769     ...4     4104-01001-06     sms #4X3/8 p-ph-a                                 1
770     ...4     A-14232           photo trans assy                                  1
771     ....5    5768-13154-04     pcb-phot trans                                    0
772     ....5    5163-12732-00     trans npn photo                                   0
773     .....6   5163-14114-00     trans-photo infra red T1&3/4                      0
774     ..3      4106-01013-06     sms #6 x 3/8 p-ph t-25                            4
775     ..3      H-23022-5         general opto square 4 pin cbl                     1
776     ...4     5791-13776-04     4 pin mimifit jr male                             1
777     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          4
778     ...4     CW-30022-84       wire 22awg gry/yel                                5
779     ...4     CW-30022-3        wire 22awg orange                                 5
780     ...4     CW-30022-0        wire 22awg black                                  5
781     ...4     CW-30022-8        wire 22awg gray                                   5
782     ...4     03-7520-2         tie wrap-nylon 3 7/8                              3
783     .2       A-23013           left ramp assy                                    1
784     ..3      03-10000.3        left plastic ramp                                 1
785     ..3      01-15163.2        ramp guard-left                                   1
786     ..3      01-15164          ramp guard-right                                  1
787     ..3      07-6688-20N       rivet 1/4X1/8 nickel                              2
788     ..3      07-6688-21N       rivet 9/32X1/8 nickel                             2
789     ..3      4700-00003-00     fw .125X.281X.032                                12
790     ..3      01-15170          flap-left ramp                                    1
791     ..3      31-3437-12        playfield  plastic-50070                          1
792     ..3      03-9255-2         spacer #8 x .343                                  2
793     ..3      4008-01220-12     ms 8-32 x 3/4 pin head                            3
794     ..3      4408-01119-01     nut 8-32 esna/ntm                                 3
795     ..3      A-16909           opto p/t assy                                     1
796     ...4     03-8506           base-opto mtg-black                               1
797     ...4     4104-01001-06     sms #4X3/8 p-ph-a                                 1
798     ...4     A-14232           photo trans assy                                  1
799     ....5    5768-13154-04     pcb-phot trans                                    0
800     ....5    5163-12732-00     trans npn photo                                   0
801     .....6   5163-14114-00     trans-photo infra red T1&3/4                      0
802     ..3      4106-01013-06     sms #6 x 3/8 p-ph t-25                            4
803     ..3      A-16908           opto led assy                                     1
804     ...4     03-8506-1         base-opto mtg-white                               1
805     ...4     4104-01001-06     sms #4X3/8 p-ph-a                                 1
806     ...4     A-14231           led assy                                          1
807     ....5    5671-12731-00     led diode infra red                               0
808     ....5    5768-13155-02     pcb-single IR LED (green mask)                    0
809     ..3      01-8240           plate-nut #2-56                                   1
810     ..3      5647-12693-21     switch sub mini micro                             1
811     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
812     ..3      4002-01105-08     ms 2-56x1/2 p-ph-s                                2
813     ..3      03-9481-1         saucer disk w/trnsp green dome                    1
814     ..3      24-8768           bulb #555 6.3Volts .25Amps                        1
815     ..3      04-12738-6        cntl sckt & receptacle w/cbl                      1
816     ..3      H-23022-14        general opto square 4 pin cbl                     1
817     ...4     5791-13776-04     4 pin mimifit jr male                             1
818     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          4
819     ...4     CW-30022-84       wire 22awg gry/yel                               14
820     ...4     CW-30022-3        wire 22awg orange                                14
821     ...4     CW-30022-0        wire 22awg black                                 14
822     ...4     CW-30022-8        wire 22awg gray                                  14
823     ...4     03-7520-2         tie wrap-nylon 3 7/8                              4
824     ..3      H-23019-8         general switch 2 pin cbl                          1
825     ...4     03-7520-2         tie wrap-nylon 3 7/8                              2
826     ...4     5791-13776-02     conn-plug minifit jr free hang                    1
827     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          2
828     ...4     CW-30022-5        wire 22awg green                                  8
829     ...4     CW-30022-9        wire 22awg white                                  8
830     ..3      03-9454           "cable tie 4"" long"                              3
831     ..3      23-6577           rubber bumper plug 5/8                            1
832     ..3      07-6688-18N       rivet 3/16X1/8 nickel                             8
833     ..3      01-8600           insulator                                         1
834     ..3      01-15173          ramp entry switch brkt                            1
835     ..3      01-15208          left ramp make switch brkt                        1
836     .2       A-23016           upper right ramp assy                             1
837     ..3      03-9996.1         upper right plastic ramp                          1
838     ..3      03-8319-9         post #8 starred trp-red                           1
839     ..3      04-12757          brkt-make switch                                  1
840     ..3      01-15171          flap-right ramp                                   1
841     ..3      01-15218          plate-switch protector                            1
842     ..3      07-6688-18N       rivet 3/16X1/8 nickel                             3
843     ..3      4700-00003-00     fw .125X.281X.032                                 3
844     ..3      4008-01220-24     ms 8-32 x 1 1/2 pin head                          1
845     ..3      03-9454           "cable tie 4"" long"                              3
846     ..3      A-23140           rollunder gate assy                               1
847     ...4     01-8240           plate-nut #2-56                                   1
848     ...4     01-8600           insulator                                         1
849     ...4     01-14993          brkt-rollunder                                    1
850     ...4     03-8267           spacer-ball gate                                  2
851     ...4     12-7436.1         gate-sw wire act                                  1
852     ...4     4002-01105-10     ms 2-56x5/8 p-ph-s                                2
853     ...4     4700-00003-00     fw .125X.281X.032                                 1
854     ...4     5070-09054-00     diode-1N4004 1.0a                                 1
855     ...4     5647-12693-36     switch sub mini micro                             1
856     ..3      4008-01220-06     ms 8-32 x 3/8 pin head                            2
857     ..3      4408-01119-01     nut 8-32 esna/ntm                                 3
858     ..3      01-8240           plate-nut #2-56                                   1
859     ..3      5647-12693-21     switch sub mini micro                             1
860     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
861     ..3      4002-01105-10     ms 2-56x5/8 p-ph-s                                2
862     ..3      H-23030           right cbl                                         1
863     ...4     03-7520-2         tie wrap-nylon 3 7/8                              5
864     ...4     5791-14003-04     conn-minifit jr. plug panl mtg                    1
865     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          4
866     ...4     CW-30022-51       wire 22awg grn/brn                               20
867     ...4     CW-30022-52       wire 22awg grn/red                               21
868     ...4     CW-30022-91       wire 22awg wht/brn                               20
869     ...4     CW-30022-98       wire 22awg wht/gry                               21
870     ..3      01-8600           insulator                                         1
871     .2       A-23017           lower right ramp assy                             1
872     ..3      03-9997.2         lower right plastic ramp                          1
873     ..3      07-6688-20N       rivet 1/4X1/8 nickel                              2
874     ..3      4700-00003-00     fw .125X.281X.032                                 2
875     ..3      03-9481-1         saucer disk w/trnsp green dome                    1
876     ..3      04-12738-6        cntl sckt & receptacle w/cbl                      1
877     ..3      24-8768           bulb #555 6.3Volts .25Amps                        1
878     ..3      23-6577           rubber bumper plug 5/8                            1
879     .2       A-23025           right plfd plastic assy                           1
880     ..3      31-3437-20        playfield  plastic-50070                          1
881     ..3      03-8044-9         post mini-tr red                                  2
882     ..3      23-6694-1         "black rubber grommet 3/32"""                     2
883     ..3      4106-01114-08     tcs #6X1/2 pl-hwh t-17                            2
884     .2       A-23026           left plfd plastic assy                            1
885     ..3      31-3437-21        playfield  plastic-50070                          1
886     ..3      03-8044-9         post mini-tr red                                  2
887     ..3      23-6694-1         "black rubber grommet 3/32"""                     2
888     ..3      03-8319-9         post #8 starred trp-red                           1
889     ..3      23-6694-3         "black rubber ring 5/16"""                        1
890     ..3      4106-01114-08     tcs #6X1/2 pl-hwh t-17                            2
891     ..3      4008-01220-24     ms 8-32 x 1 1/2 pin head                          1
892     ..3      4408-01119-01     nut 8-32 esna/ntm                                 1
893     ..3      04-11037-8        cntrl lamp reflect w/2pin cbl                     1
894     ..3      07-6688-18N       rivet 3/16X1/8 nickel                             1
895     ..3      4700-00003-00     fw .125X.281X.032                                 1
896     .2       A-23027           popper plfd plastic assy                          1
897     ..3      31-3437-28        playfield  plastic-50070                          1
898     ...4     31-3437-28A       playfield  plastic-50070                          1
899     ..3      03-8171-9         dome-twist lock mini-trp red                      1
900     ..3      04-12861-8        socket & recpt w/cbl                              1
901     ...4     03-8431-13        recepticle-clear mini dome                        0
902     ...4     5820-09078-00     pm1560 02-06-2101                                 0
903     ...4     5791-10772-00     2P11625 03-06-2023                                0
904     ..3      24-8802           bulb #906 13V 0.69                                1
905     ..3      4700-00003-00     fw .125X.281X.032                                 2
906     ..3      07-6688-19N       rivet 7/32X1/8 nickel                             2
907     .2       A-23136           shooter ramp assy                                 1
908     ..3      01-15180          ramp-shooter                                      1
909     ..3      01-15181          flap-shooter ramp                                 1
910     ..3      4700-00003-00     fw .125X.281X.032                                 2
911     ..3      07-6688-17N       rivet 5/32X1/8 nickel                             2
912     .2       A-23137           plfd plastic assy-lower lane                      1
913     ..3      31-3437-16        playfield  plastic-50070                          1
914     ..3      4008-01220-20     ms 8-32 x1 1/4 pin head                           4
915     ..3      03-9255-3         spacer #8 x .541                                  4
916     .2       A-23138           plfd plastic assy-upper lane                      1
917     ..3      03-9255-3         spacer #8 x .541                                  2
918     ..3      03-9255-5         spacer #8 x .733                                  1
919     ..3      03-9255-6         spacer #8 x 1.048                                 1
920     ..3      4008-01220-20     ms 8-32 x1 1/4 pin head                           2
921     ..3      4008-01220-24     ms 8-32 x 1 1/2 pin head                          1
922     ..3      4008-01220-28     ms 8-32 X 1 3/4 pin head                          1
923     ..3      31-3437-9         playfield  plastic-50070                          1
924     .2       A-23156           popper assy-revenge                               1
925     ..3      04-12741          brkt-popper revenge                               1
926     ..3      A-16909           opto p/t assy                                     1
927     ...4     03-8506           base-opto mtg-black                               1
928     ...4     4104-01001-06     sms #4X3/8 p-ph-a                                 1
929     ...4     A-14232           photo trans assy                                  1
930     ....5    5768-13154-04     pcb-phot trans                                    0
931     ....5    5163-12732-00     trans npn photo                                   0
932     .....6   5163-14114-00     trans-photo infra red T1&3/4                      0
933     ..3      A-16908           opto led assy                                     1
934     ...4     03-8506-1         base-opto mtg-white                               1
935     ...4     4104-01001-06     sms #4X3/8 p-ph-a                                 1
936     ...4     A-14231           led assy                                          1
937     ....5    5671-12731-00     led diode infra red                               0
938     ....5    5768-13155-02     pcb-single IR LED (green mask)                    0
939     ..3      23-6420           grommet                                           1
940     ..3      4408-01119-01     nut 8-32 esna/ntm                                 4
941     ..3      04-10322-2        brkt-coil                                         2
942     ..3      10-135            spring-plunger                                    1
943     ..3      03-7067           tubing-coil                                       1
944     ..3      04-10291          armature & extension assy                         1
945     ..3      4106-01013-06     sms #6 x 3/8 p-ph t-25                            4
946     ..3      AE1-25-1000       coil assy                                         1
947     ...4     16-8943-29        coil tape 1 3/8 wide                              0
948     ...4     A-22592           small bobbin assy                                 0
949     ....5    03-7041-1         bobbin                                            0
950     ....5    01-14673-1        terminal-coil                                     0
951     ....5    07-6688-17        rivet 5/32X1/8                                    0
952     ....5    01-15016          terminal-coil .25                                 0
953     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
954     ..3      03-8561           cup-ball popper                                   1
955     ..3      4106-01152-08     sms #6x1/2 tfp-flh                                1
956     ..3      H-23022-5         general opto square 4 pin cbl                     1
957     ...4     5791-13776-04     4 pin mimifit jr male                             1
958     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          4
959     ...4     CW-30022-84       wire 22awg gry/yel                                5
960     ...4     CW-30022-3        wire 22awg orange                                 5
961     ...4     CW-30022-0        wire 22awg black                                  5
962     ...4     CW-30022-8        wire 22awg gray                                   5
963     ...4     03-7520-2         tie wrap-nylon 3 7/8                              3
964     .2       A-23161           one way gate assy                                 1
965     ..3      01-15205          brkt-one way gate                                 1
966     ..3      12-7454           gate-one way wire                                 1
967     .2       A-23163           socket & bulb w/diode                            37
968     ..3      04-10514          socket & bulb                                    37
969     ..3      5070-09054-00     diode-1N4004 1.0a                                37
970     .2       A-23164           socket & cbl assy                                 1
971     ..3      A-17836-1         socket & bulb assy                                1
972     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
973     ..3      H-23020-6         general lamp 2 pin cbl                            1
974     ...4     03-7520-2         tie wrap-nylon 3 7/8                              1
975     ...4     5791-13776-02     conn-plug minifit jr free hang                    1
976     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          2
977     ...4     CW-30022-4        wire 22awg yellow                                 6
978     ...4     CW-30022-1        wire 22awg brown                                  6
979     .2       A-23179           plfd plas assy-rt corner                          1
980     ..3      31-3437-6         playfield  plastic-50070                          1
981     ..3      03-9255-6         spacer #8 x 1.048                                 1
982     .2       B-9414-6          jet bumper assy-black wafer                       2
983     ..3      A-4754            bumper ring assy                                  2
984     ..3      03-6009-A5        bumper wht base                                   2
985     ..3      03-6035-7         wafer-jet bumper black                            2
986     ..3      03-7443-5         bumper body wht                                   2
987     ..3      10-7              spring-jet bumper                                 2
988     ..3      24-8768           bulb #555 6.3Volts .25Amps                        2
989     ..3      24-8776           socket-wedge base                                 2
990     .2       B-13123-2         jet bumper assy-black no/blb                      1
991     ..3      A-4754            bumper ring assy                                  1
992     ..3      03-6009-A5        bumper wht base                                   1
993     ..3      03-6035-7         wafer-jet bumper black                            1
994     ..3      03-7443-5         bumper body wht                                   1
995     ..3      10-7              spring-jet bumper                                 1
996     .2       H-22971.3         plfd switch cable-50070                           1
997     ..3      03-7520-2         tie wrap-nylon 3 7/8                             38
998     ..3      5791-14003-22     con-plug minifit 39-01-2221                       1
999     ..3      5792-10773-00     2R11625 03-06-1023                                3
1000    ..3      5792-10847-12     12r mt/thru 22/156                                1
1001    ..3      5792-13355-02     conn-female wire mnt 0.165 ctr                    4
1002    ..3      5792-13355-04     conn-female wire mnt 0.165 ctr                    1
1003    ..3      5820-13730-02     pin-mini fit jr 18-22awg                         20
1004    ..3      5821-09079-00     pf1561 02-06-1101                                 6
1005    ..3      5821-13771-02     socket-female minifit BMI                        12
1006    ..3      RM-35-4           label color code pink                             1
1007    ..3      CW-30022-51       wire 22awg grn/brn                              191
1008    ..3      5822-10872-06     term 22-18 TAB.110                               12
1009    ..3      5823-10820-00     "plz key mt .156"""                               1
1010    ..3      CW-30022-52       wire 22awg grn/red                              169
1011    ..3      CW-30022-53       wire 22awg grn/org                               59
1012    ..3      CW-30022-59       wire 22awg grn/wht                               45
1013    ..3      CW-30022-50       wire 22awg grn/blk                               45
1014    ..3      CW-30022-56       wire 22awg grn/blu                              177
1015    ..3      CW-30022-57       wire 22awg grn/vio                               89
1016    ..3      CW-30022-58       wire 22awg grn/gry                               31
1017    ..3      CW-30022-91       wire 22awg wht/brn                              194
1018    ..3      CW-30022-92       wire 22awg wht/red                              145
1019    ..3      CW-30022-93       wire 22awg wht/org                              100
1020    ..3      CW-30022-94       wire 22awg wht/yel                               70
1021    ..3      CW-30022-95       wire 22awg wht/grn                              176
1022    ..3      CW-30022-96       wire 22awg wht/blu                              157
1023    ..3      CW-30022-97       wire 22awg wht/vio                              153
1024    ..3      CW-30022-98       wire 22awg wht/gry                              162
1025    ..3      CW-30022-84       wire 22awg gry/yel                               45
1026    ..3      CW-30022-0        wire 22awg black                                113
1027    ..3      CW-30022-05       wire 22awg blk/grn                               51
1028    ..3      CW-30022-06       wire 22awg blk/blu                               53
1029    .2       H-22972-1         playfield lamp cable-50070                        1
1030    ..3      03-7520-2         tie wrap-nylon 3 7/8                             39
1031    ..3      5791-14003-16     conn-minifit jr. plug panl mtg                    1
1032    ..3      5792-10773-00     2R11625 03-06-1023                                3
1033    ..3      5792-10847-07     7r mt/thru 22/156                                 1
