ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
121     ....5    01-916-T          "spacer- 1/32"""                                  2
122     ....5    01-916-S          "spacer-tight 1/16"""                             4
123     ....5    03-7007-6A        "tubing-13/32"""                                  4
124     ....5    06-20-20          blade-back up                                     2
125     ...4     01-3670           plate-switch curved                               2
126     ...4     01-12345          brkt switch                                       2
127     ...4     07-6688-27        rivet 9/16X1/8                                    4
128     ..3      A-17794           kicker sw sub assy                                2
129     ...4     A-17793           stand up sw assy                                  2
130     ....5    SW-1A-120         switch-score                                      2
131     .....6   A-8394            blade & contact assy                              2
132     ......7  06-36-10          blade-contact                                     2
133     ......7  5860-09374-00     cp prec met 7309fs                                2
134     .....6   A-8395            blade & contact assy                              2
135     ......7  06-35-8           blade-contact                                     2
136     ......7  5860-09374-00     cp prec met 7309fs                                2
137     .....6   01-916-L          "spacer-loose 1/16"""                             2
138     .....6   01-916-Q          "spacer- 1/64"""                                  2
139     .....6   01-916-S          "spacer-tight 1/16"""                             4
140     .....6   01-916-T          "spacer- 1/32"""                                  4
141     .....6   01-916-H          "spacer- 3/32"""                                  2
142     .....6   03-7007-6A        "tubing-13/32"""                                  4
143     .....6   06-17             blade-side lug                                    2
144     .....6   06-20-20          blade-back up                                     2
145     ....5    01-12345          brkt switch                                       2
146     ....5    01-3670           plate-switch curved                               2
147     ....5    07-6688-26        rivet 1/2X1/8                                     4
148     ...4     5070-09054-00     diode-1N4004 1.0a                                 2
149     ..3      CW-30022-5        wire 22awg green                                 10
150     ..3      CW-30022-9        wire 22awg white                                 10
151     .2       A-17807           socket & #44 bulb assy w/dio                     10
152     ..3      A-17806           socket & bulb assy                               10
153     ..3      5070-09054-00     diode-1N4004 1.0a                                10
154     .2       A-17802           socket & #906 bulb assy                           2
155     .2       A-17811           kicker assy-sling shot                            2
156     ..3      A-12664           crank assy                                        2
157     ..3      A-17810           kicker mtg brkt assy                              2
158     ..3      12-6227           clip-hair pin                                     4
159     ..3      4700-00030-00     fw .265X.500X.067                                 2
160     ..3      03-8085           armature link                                     2
161     ..3      02-2364           plunger-coil                                      2
162     ..3      20-8716-5         pin roll 1/8 x 7/16                               2
163     .2       A-17812-2         "cable mtg brkt assy-1/2"""                       6
164     ..3      03-7655-8         "clamp cable 1/2""dia"                            6
165     ..3      4006-01027-06     ms 6-32X3/8 p-rwh                                 6
166     ..3      01-12350          brkt-cable                                        6
167     .2       A-17812-4         "cable mtg brkt assy-1"""                        10
168     ..3      03-7655-16        "clamp cable 1""dia"                             10
169     ..3      4006-01027-06     ms 6-32X3/8 p-rwh                                10
170     ..3      01-12350          brkt-cable                                       10
171     .2       A-17813           rollover sw assy w/zinc brkt                      8
172     ..3      01-12356          brkt-switch mtg                                   8
173     ..3      01-15218          plate-switch protector                            8
174     ..3      4002-01105-07     ms 2-56x7/16 p-ph-s                              16
175     ..3      5070-09054-00     diode-1N4004 1.0a                                 8
176     ..3      5647-12693-19     switch sub mini micro                             8
177     .2       A-17813-1         rollover sw assy w/yellow brkt                    3
178     ..3      01-12356-1        brkt-switch mtg (yellow)                          3
179     ..3      01-15218          plate-switch protector                            3
180     ..3      4002-01105-07     ms 2-56x7/16 p-ph-s                               6
181     ..3      5070-09054-00     diode-1N4004 1.0a                                 3
182     ..3      5647-12693-19     switch sub mini micro                             3
183     .2       A-17835           socket & #44 bulb assy w/dio                      7
184     ..3      A-17835-1         socket & bulb assy                                7
